candidate_id,hidden_dim,dropout,lr,runs_ok,runs_total,mean_emoval,std_emoval,mean_f1,mean_acc,mean_val
cand01_hd128_do0.4_lr0.001,128,0.4,0.001,2,2,0.5927,0.003217335854398751,0.7536,0.7541,0.6436
cand02_hd256_do0.4_lr0.001,256,0.4,0.001,2,2,0.5868125,0.007124100820454428,0.75055,0.7532,0.6549499999999999
