candidate_id,hidden_dim,dropout,lr,runs_ok,runs_total,mean_emoval,std_emoval,mean_f1,mean_acc,mean_val
cand03_hd256_do0.3_lr0.0001,256,0.3,0.0001,2,2,0.5712625,0.001644023266258738,0.7472000000000001,0.7486,0.7037500000000001
cand01_hd128_do0.3_lr0.0001,128,0.3,0.0001,2,2,0.5583750000000001,0.007495331880577442,0.7461,0.7464,0.7509
cand02_hd128_do0.4_lr0.0001,128,0.4,0.0001,2,2,0.5529999999999999,0.005444722215136365,0.75015,0.7498,0.7886
