run_tag,runs_ok,train_waf_mean,train_waf_std,train_mse_mean,train_mse_std,multi_waf_mean,multi_waf_std,multi_mse_mean,multi_mse_std,noise_waf_mean,noise_waf_std,noise_mse_mean,noise_mse_std,semi_waf_mean,semi_waf_std,avg_waf_mean,avg_waf_std,avg_mse_mean,avg_mse_std,score_multi_mean,score_multi_std,score_balanced_mean,score_balanced_std
p6_b3,1,75.55,0.0,0.6653,0.0,83.42,0.0,0.657,0.0,75.56,0.0,0.6581,0.0,89.74,0.0,81.0675,0.0,0.6601333333333333,0.0,66.995,0.0,64.56416666666667,0.0
p6_b2,1,75.69,0.0,0.6678,0.0,83.39999999999999,0.0,0.6758,0.0,79.32000000000001,0.0,0.6338,0.0,89.22,0.0,81.9075,0.0,0.6591333333333332,0.0,66.505,0.0,65.42916666666667,0.0
p6_b4,1,75.3,0.0,0.682,0.0,83.03,0.0,0.6552,0.0,79.86999999999999,0.0,0.6228,0.0,87.75,0.0,81.4875,0.0,0.6533333333333334,0.0,66.65,0.0,65.15416666666667,0.0
p6_b1,1,76.05,0.0,0.6224,0.0,82.62,0.0,0.6111,0.0,76.03,0.0,0.6057,0.0,89.11,0.0,80.9525,0.0,0.6130666666666666,0.0,67.3425,0.0,65.62583333333333,0.0
p6_b5,1,75.42,0.0,0.7057,0.0,81.8,0.0,0.6754,0.0,78.62,0.0,0.6364,0.0,89.75999999999999,0.0,81.4,0.0,0.6725,0.0,64.91499999999999,0.0,64.5875,0.0
p6_b6,1,75.03999999999999,0.0,0.7041,0.0,81.57,0.0,0.6843,0.0,78.3,0.0,0.6426,0.0,87.86,0.0,80.6925,0.0,0.6769999999999999,0.0,64.46249999999999,0.0,63.7675,0.0
