run_tag,runs_ok,train_waf_mean,train_waf_std,train_mse_mean,train_mse_std,multi_waf_mean,multi_waf_std,multi_mse_mean,multi_mse_std,noise_waf_mean,noise_waf_std,noise_mse_mean,noise_mse_std,semi_waf_mean,semi_waf_std,avg_waf_mean,avg_waf_std,avg_mse_mean,avg_mse_std,score_multi_mean,score_multi_std,score_balanced_mean,score_balanced_std
p4_e1,1,75.25,0.0,0.6405,0.0,84.28,0.0,0.6162,0.0,77.82,0.0,0.6203,0.0,87.63,0.0,81.245,0.0,0.6256666666666666,0.0,68.875,0.0,65.60333333333334,0.0
p4_e3,1,75.6,0.0,0.6614,0.0,83.42,0.0,0.6159,0.0,78.03999999999999,0.0,0.652,0.0,88.5,0.0,81.38999999999999,0.0,0.6431,0.0,68.02250000000001,0.0,65.31249999999999,0.0
p4_e2,1,75.52,0.0,0.6523,0.0,83.39,0.0,0.6452,0.0,77.08,0.0,0.64,0.0,89.11,0.0,81.275,0.0,0.6458333333333334,0.0,67.26,0.0,65.12916666666666,0.0
p4_e4,1,76.02,0.0,0.6221,0.0,82.62,0.0,0.6193,0.0,76.82,0.0,0.6237,0.0,87.98,0.0,80.86,0.0,0.6217,0.0,67.1375,0.0,65.3175,0.0
