run_tag,runs_ok,train_waf_mean,train_waf_std,train_mse_mean,train_mse_std,multi_waf_mean,multi_waf_std,multi_mse_mean,multi_mse_std,noise_waf_mean,noise_waf_std,noise_mse_mean,noise_mse_std,semi_waf_mean,semi_waf_std,avg_waf_mean,avg_waf_std,avg_mse_mean,avg_mse_std,score_multi_mean,score_multi_std,score_balanced_mean,score_balanced_std
f11_cpulean_balanced,2,76.64500000000001,0.4550000000000054,0.61905,0.005750000000000033,84.11500000000001,0.6250000000000071,0.6176,0.0131,76.70500000000001,0.2850000000000037,0.62275,0.029249999999999998,88.71000000000001,0.46000000000000085,81.54375,0.22875000000000512,0.6198,0.016033333333333344,68.67500000000001,0.29750000000000654,66.04875000000001,0.17208333333332604
g11_loader2_balanced,1,76.47,0.0,0.5814,0.0,84.0,0.0,0.6096,0.0,77.52,0.0,0.605,0.0,89.45,0.0,81.86,0.0,0.5986666666666667,0.0,68.76,0.0,66.89333333333333,0.0
f12_cpulean_multi,1,76.96,0.0,0.6128,0.0,83.57,0.0,0.5949,0.0,77.14999999999999,0.0,0.6115,0.0,89.05999999999999,0.0,81.68499999999999,0.0,0.6063999999999999,0.0,68.69749999999999,0.0,66.52499999999999,0.0
d01_hd256_balanced,2,76.61500000000001,0.49499999999999744,0.6167499999999999,0.00874999999999998,82.26499999999999,0.5850000000000009,0.6507499999999999,0.007350000000000023,77.42500000000001,1.0249999999999986,0.6241,0.0030000000000000027,88.595,0.26500000000000057,81.225,0.34500000000000597,0.6305333333333333,0.00436666666666663,65.99625,0.40124999999999744,65.46166666666667,0.2358333333333391
d02_hd256_multi_focus,1,76.23,0.0,0.5966,0.0,82.14,0.0,0.612,0.0,76.85,0.0,0.5946,0.0,87.72999999999999,0.0,80.7375,0.0,0.6010666666666667,0.0,66.84,0.0,65.71083333333333,0.0
e01_parallel_noise_guard,1,76.77000000000001,0.0,0.5916,0.0,81.78,0.0,0.6241,0.0,76.72,0.0,0.6011,0.0,87.7,0.0,80.7425,0.0,0.6056,0.0,66.17750000000001,0.0,65.6025,0.0
