candidate_id,hidden_dim,dropout,lr,runs_ok,runs_total,mean_emoval,std_emoval,mean_f1,mean_acc,mean_val
cand02_hd256_do0.3_lr0.001,256,0.3,0.001,2,2,0.5935625,0.004472450391004852,0.7585,0.76125,0.6597500000000001
cand01_hd128_do0.3_lr0.001,128,0.3,0.001,2,2,0.5893,0.010960155108391536,0.7562,0.7556,0.6676
